NGO_Location,Crisis_Level,Days_Since_Last_Supply,People_Count,Water_Stock_Liters,Food_Stock_Kg,Medicine_Units,Blankets_Count,Fuel_Liters,Supplies_Short
Central Command,High,9,479,821,767,30,604,780,"Water, Medicine"
Central Command,Severe,5,787,454,482,83,405,532,"Water, Food, Medicine, Blankets"
North Base,Low,4,334,600,518,151,231,402,"Water, Medicine, Blankets"
North Base,Moderate,10,565,724,154,472,532,52,"Water, Food, Fuel"
North Base,Severe,8,148,654,91,35,549,786,"Food, Medicine"
North Base,Severe,14,446,64,981,212,787,312,"Water, Medicine"
West Outpost,High,5,538,75,1549,413,504,280,Water
East Camp,High,10,88,710,454,407,668,725,None
East Camp,Moderate,7,320,142,1764,363,178,30,"Water, Blankets, Fuel"
North Base,Moderate,1,936,916,597,105,131,336,"Water, Food, Medicine, Blankets"
East Camp,High,11,846,914,1668,413,454,182,"Water, Medicine, Blankets"
East Camp,Moderate,12,206,827,509,341,347,22,Fuel
North Base,High,8,124,604,1206,219,539,543,None
East Camp,Low,4,933,472,385,390,771,445,"Water, Food, Medicine"
Central Command,Severe,6,849,416,1597,162,405,73,"Water, Medicine, Blankets, Fuel"
South Shelter,Severe,9,179,304,1754,438,75,9,"Water, Blankets, Fuel"
South Shelter,High,12,736,735,404,219,578,483,"Water, Food, Medicine, Blankets"
North Base,High,0,133,496,245,269,491,455,None
West Outpost,Moderate,9,71,290,741,119,193,565,None
North Base,Severe,4,508,939,1614,393,161,563,"Water, Blankets"
West Outpost,High,11,588,101,660,335,346,659,"Water, Food, Blankets"
South Shelter,Moderate,13,756,985,649,399,360,159,"Water, Food, Blankets"
North Base,Severe,9,898,266,1494,181,768,881,"Water, Medicine"
Central Command,Severe,13,431,866,1849,478,583,13,Fuel
East Camp,Severe,1,797,967,1911,105,86,177,"Water, Medicine, Blankets"
West Outpost,High,11,489,621,1446,216,261,411,"Water, Medicine, Blankets"
East Camp,High,5,653,973,900,204,213,877,"Water, Food, Medicine, Blankets"
East Camp,High,10,70,841,64,69,664,52,"Food, Fuel"
North Base,Severe,0,352,961,1036,43,721,407,Medicine
East Camp,Severe,2,918,941,212,328,572,846,"Water, Food, Medicine, Blankets"
Central Command,Low,4,133,776,241,300,779,21,Fuel
East Camp,Low,3,823,2,492,227,261,29,"Water, Food, Medicine, Blankets, Fuel"
North Base,Moderate,2,708,84,1236,183,729,702,"Water, Medicine"
Central Command,Severe,9,502,793,1716,106,282,259,"Water, Medicine, Blankets"
South Shelter,Severe,12,436,327,337,83,647,204,"Water, Food, Medicine"
East Camp,Moderate,4,556,815,172,337,466,58,"Water, Food, Fuel"
North Base,High,10,306,449,671,249,379,470,Water
South Shelter,Moderate,7,619,453,163,362,361,775,"Water, Food, Blankets"
South Shelter,Severe,10,941,923,464,440,448,465,"Water, Food, Medicine, Blankets"
West Outpost,Severe,3,983,628,994,20,440,11,"Water, Food, Medicine, Blankets, Fuel"
Central Command,Severe,0,576,220,496,195,92,630,"Water, Food, Medicine, Blankets"
East Camp,High,10,211,153,699,177,620,926,Water
North Base,High,6,212,664,394,416,752,973,None
West Outpost,Moderate,7,881,11,702,474,423,289,"Water, Food, Blankets"
Central Command,Low,2,842,132,1940,6,141,849,"Water, Medicine, Blankets"
West Outpost,Severe,5,841,993,307,69,290,759,"Water, Food, Medicine, Blankets"
Central Command,Severe,1,573,303,1791,126,431,353,"Water, Medicine, Blankets"
Central Command,Severe,6,835,292,182,398,748,638,"Water, Food, Medicine"
East Camp,Severe,14,320,974,628,465,688,74,Fuel
Central Command,High,7,541,299,1817,159,652,872,"Water, Medicine"
West Outpost,High,5,257,739,509,247,700,715,None
Central Command,Severe,5,588,782,1731,202,48,560,"Water, Medicine, Blankets"
East Camp,Severe,4,633,42,545,147,301,590,"Water, Food, Medicine, Blankets"
East Camp,Moderate,7,109,943,1587,471,189,440,None
West Outpost,High,0,479,342,623,142,135,990,"Water, Food, Medicine, Blankets"
South Shelter,Moderate,9,706,325,1787,431,554,240,"Water, Blankets"
South Shelter,Severe,3,654,813,593,198,403,860,"Water, Food, Medicine, Blankets"
Central Command,High,14,358,497,743,404,601,153,Water
North Base,Moderate,3,569,363,1250,425,340,785,"Water, Blankets"
Central Command,High,2,640,890,1768,153,756,95,"Water, Medicine, Fuel"
West Outpost,High,2,76,426,1756,491,703,725,None
West Outpost,Moderate,3,735,20,1459,375,317,293,"Water, Blankets"
West Outpost,Moderate,10,611,406,1948,383,617,208,Water
West Outpost,High,0,248,618,1445,141,362,342,None
West Outpost,High,13,436,335,553,312,381,87,"Water, Food, Fuel"
East Camp,High,10,398,814,20,164,232,817,"Food, Medicine, Blankets"
South Shelter,High,12,989,116,553,313,776,775,"Water, Food, Medicine, Blankets"
West Outpost,Severe,10,742,123,396,20,343,936,"Water, Food, Medicine, Blankets"
North Base,High,1,585,398,624,81,548,389,"Water, Food, Medicine"
North Base,High,8,877,792,104,68,552,324,"Water, Food, Medicine, Blankets"
North Base,Severe,9,427,803,191,130,528,939,"Water, Food, Medicine"
North Base,High,1,948,714,16,86,788,888,"Water, Food, Medicine"
East Camp,Moderate,4,965,50,1143,217,570,831,"Water, Food, Medicine, Blankets"
North Base,Low,8,607,782,392,420,182,156,"Water, Food, Blankets"
West Outpost,High,8,576,323,424,471,40,667,"Water, Food, Blankets"
Central Command,High,7,202,788,128,304,550,650,Food
North Base,High,0,783,140,1153,402,396,632,"Water, Food, Blankets"
East Camp,Moderate,0,255,469,571,370,703,576,Water
East Camp,Moderate,8,504,786,1583,344,778,618,Water
North Base,Low,12,322,801,28,340,493,658,Food
Central Command,Moderate,10,943,333,1120,383,658,136,"Water, Food, Medicine, Blankets"
North Base,High,7,285,892,1033,395,332,922,None
East Camp,Moderate,9,901,963,241,444,126,673,"Water, Food, Medicine, Blankets"
South Shelter,High,8,789,372,1849,424,557,427,"Water, Blankets"
West Outpost,Severe,6,570,563,1979,160,556,451,"Water, Medicine"
East Camp,Moderate,2,727,493,231,177,0,611,"Water, Food, Medicine, Blankets"
North Base,High,2,993,538,788,116,167,849,"Water, Food, Medicine, Blankets"
West Outpost,High,1,880,668,1307,195,619,910,"Water, Food, Medicine, Blankets"
North Base,Moderate,4,775,750,714,382,18,818,"Water, Food, Medicine, Blankets"
North Base,High,11,550,155,758,489,331,140,"Water, Food, Blankets"
South Shelter,Severe,11,166,290,801,326,583,82,"Water, Fuel"
West Outpost,Severe,2,435,647,775,85,455,176,"Water, Medicine"
West Outpost,Moderate,13,393,143,1978,288,108,197,"Water, Blankets"
South Shelter,Severe,5,633,105,725,80,267,623,"Water, Food, Medicine, Blankets"
East Camp,High,1,444,419,199,151,444,567,"Water, Food, Medicine"
North Base,Moderate,11,113,669,944,60,239,971,None
Central Command,High,2,766,657,78,60,300,690,"Water, Food, Medicine, Blankets"
North Base,Severe,4,770,1,1936,353,601,420,"Water, Medicine, Blankets"
North Base,High,11,121,944,955,27,102,400,Medicine
East Camp,Moderate,10,838,588,1878,441,249,697,"Water, Blankets"
North Base,High,10,323,643,855,42,452,470,"Water, Medicine"
South Shelter,Moderate,0,369,89,1196,168,519,217,"Water, Medicine"
South Shelter,Low,12,387,344,466,422,152,924,"Water, Food, Blankets"
West Outpost,Moderate,0,415,349,580,85,173,928,"Water, Food, Medicine, Blankets"
Central Command,Moderate,9,544,458,1439,176,342,827,"Water, Medicine, Blankets"
North Base,Moderate,8,656,262,939,16,669,986,"Water, Food, Medicine"
North Base,Moderate,6,215,350,448,97,430,728,"Water, Medicine"
East Camp,High,0,593,107,86,453,726,631,"Water, Food"
South Shelter,Moderate,14,60,585,100,493,688,950,None
Central Command,Moderate,11,350,38,1031,197,686,905,Water
West Outpost,Severe,13,778,908,844,97,657,174,"Water, Food, Medicine"
South Shelter,High,7,850,158,1223,64,323,22,"Water, Food, Medicine, Blankets, Fuel"
West Outpost,High,2,151,582,1528,329,672,724,None
East Camp,Moderate,7,474,958,86,340,638,916,Food
East Camp,Moderate,14,441,311,42,4,419,234,"Water, Food, Medicine"
North Base,Low,4,828,240,1408,1,593,12,"Water, Medicine, Blankets, Fuel"
Central Command,Moderate,0,263,937,1644,21,484,100,Medicine
West Outpost,Moderate,6,740,444,1458,111,658,928,"Water, Medicine"
South Shelter,Moderate,4,137,297,407,56,750,535,Medicine
East Camp,Low,5,602,951,1506,65,411,875,"Water, Medicine, Blankets"
North Base,Moderate,5,450,35,663,329,83,522,"Water, Food, Blankets"
North Base,High,7,637,83,1040,97,112,784,"Water, Medicine, Blankets"
West Outpost,Moderate,8,938,451,1668,143,736,451,"Water, Medicine, Blankets"
East Camp,Moderate,1,95,885,147,367,331,430,None
Central Command,High,8,721,774,276,434,377,792,"Water, Food, Blankets"
East Camp,High,11,512,821,231,124,754,605,"Water, Food, Medicine"
West Outpost,Low,14,641,384,1849,166,654,712,"Water, Medicine"
West Outpost,High,10,359,171,1950,85,40,532,"Water, Medicine, Blankets"
East Camp,High,9,135,375,365,75,769,851,None
West Outpost,Low,8,141,684,1251,343,796,978,None
East Camp,Severe,12,709,361,1674,494,104,722,"Water, Blankets"
South Shelter,Severe,9,722,558,435,423,201,651,"Water, Food, Blankets"
East Camp,Low,14,763,890,398,293,449,292,"Water, Food, Medicine, Blankets"
East Camp,Moderate,9,985,140,1234,443,265,809,"Water, Food, Medicine, Blankets"
West Outpost,Severe,6,977,886,1414,58,209,912,"Water, Food, Medicine, Blankets"
West Outpost,High,0,291,917,498,137,562,100,Medicine
North Base,Moderate,6,914,117,539,98,117,501,"Water, Food, Medicine, Blankets"
North Base,Moderate,9,51,276,562,191,712,303,None
South Shelter,Moderate,4,274,725,1514,242,376,870,None
North Base,High,5,850,219,441,318,550,539,"Water, Food, Medicine, Blankets"
East Camp,High,9,794,904,1284,48,539,552,"Water, Medicine, Blankets"
West Outpost,Moderate,6,975,25,772,447,770,354,"Water, Food, Medicine, Blankets"
North Base,High,13,978,520,349,31,83,302,"Water, Food, Medicine, Blankets"
North Base,High,14,638,782,1375,390,453,495,"Water, Blankets"
South Shelter,Low,4,165,9,519,276,666,657,Water
South Shelter,Moderate,6,715,983,1343,19,628,767,"Water, Medicine"
East Camp,High,8,967,377,137,153,513,973,"Water, Food, Medicine, Blankets"
West Outpost,Severe,2,152,632,1573,382,604,226,None
South Shelter,High,7,243,636,1646,67,677,235,Medicine
North Base,High,1,215,681,991,365,386,872,None
West Outpost,Moderate,10,920,583,367,371,349,891,"Water, Food, Medicine, Blankets"
West Outpost,High,6,139,151,1243,213,295,454,Water
North Base,High,12,735,719,1360,142,257,12,"Water, Medicine, Blankets, Fuel"
South Shelter,Moderate,1,171,48,1246,375,80,209,"Water, Blankets"
North Base,Moderate,14,192,153,1671,231,267,740,Water
West Outpost,Moderate,13,155,858,1791,212,418,396,None
Central Command,Low,3,936,292,359,78,234,99,"Water, Food, Medicine, Blankets, Fuel"
Central Command,Moderate,6,477,579,920,213,310,30,"Water, Medicine, Blankets, Fuel"
East Camp,Moderate,2,354,49,328,115,356,897,"Water, Food, Medicine"
North Base,Moderate,1,921,663,961,91,212,527,"Water, Food, Medicine, Blankets"
North Base,Moderate,10,366,530,462,269,573,648,"Water, Food"
East Camp,Severe,9,684,611,945,410,48,328,"Water, Food, Blankets"
East Camp,High,6,951,59,962,380,126,165,"Water, Food, Medicine, Blankets"
East Camp,High,0,58,166,1584,488,222,458,None
West Outpost,High,13,823,201,1827,167,278,821,"Water, Medicine, Blankets"
North Base,High,14,122,856,1405,57,407,951,Medicine
West Outpost,Low,7,408,145,835,283,504,981,Water
East Camp,High,2,272,914,1613,25,293,992,Medicine
North Base,High,11,465,675,1640,368,795,99,"Water, Fuel"
West Outpost,High,11,602,969,168,446,276,620,"Water, Food, Blankets"
West Outpost,High,12,419,992,216,65,437,854,"Food, Medicine"
East Camp,Moderate,1,765,438,377,408,106,172,"Water, Food, Blankets"
North Base,Moderate,2,313,241,118,247,657,748,"Water, Food"
East Camp,Moderate,4,889,580,189,253,419,161,"Water, Food, Medicine, Blankets"
North Base,High,10,739,686,766,386,610,904,"Water, Food"
Central Command,High,7,909,560,369,455,428,727,"Water, Food, Blankets"
South Shelter,Moderate,9,367,482,1801,43,374,775,"Water, Medicine"
South Shelter,Severe,6,133,107,148,96,72,262,"Water, Food, Blankets"
South Shelter,High,6,367,225,1699,41,633,803,"Water, Medicine"
East Camp,Moderate,11,160,672,651,499,29,273,Blankets
Central Command,Moderate,6,300,630,1882,226,187,2,"Blankets, Fuel"
North Base,Moderate,14,432,660,1511,261,363,27,"Water, Fuel"
West Outpost,Moderate,7,56,976,769,166,799,325,None
North Base,Moderate,0,508,661,373,435,450,939,"Water, Food"
West Outpost,Moderate,3,133,431,780,278,194,148,None
North Base,Moderate,12,257,804,1716,88,155,539,"Medicine, Blankets"
Central Command,Moderate,5,949,654,159,378,171,487,"Water, Food, Medicine, Blankets"
West Outpost,Severe,8,439,418,350,177,40,821,"Water, Food, Medicine, Blankets"
East Camp,Low,12,363,987,1935,426,62,437,Blankets
North Base,High,1,71,454,1311,402,22,64,"Blankets, Fuel"
North Base,High,0,459,159,1311,196,359,355,"Water, Medicine, Blankets"
West Outpost,Severe,12,944,522,891,306,74,532,"Water, Food, Medicine, Blankets"
East Camp,Moderate,9,564,649,1249,266,559,251,"Water, Medicine"
East Camp,Moderate,11,176,968,522,267,671,234,None
Central Command,Severe,13,858,589,521,73,117,226,"Water, Food, Medicine, Blankets"
East Camp,Severe,1,749,76,782,7,611,524,"Water, Food, Medicine"
East Camp,Severe,6,923,508,272,407,379,312,"Water, Food, Medicine, Blankets"
East Camp,Moderate,2,63,440,935,475,678,48,Fuel
South Shelter,Moderate,9,61,253,1425,296,289,117,None
Central Command,High,1,136,920,182,163,439,53,"Food, Fuel"
North Base,Severe,13,573,769,1992,484,667,649,Water
West Outpost,High,10,958,319,1688,84,6,564,"Water, Medicine, Blankets"
North Base,High,6,586,802,487,71,195,43,"Water, Food, Medicine, Blankets, Fuel"
Central Command,Moderate,12,350,262,1850,54,420,814,"Water, Medicine"
West Outpost,High,12,292,596,845,392,567,52,Fuel
Central Command,Moderate,1,171,657,123,46,192,585,"Food, Medicine"
East Camp,Moderate,2,196,834,984,398,558,557,None
West Outpost,High,10,616,553,1649,431,147,524,"Water, Blankets"
East Camp,High,6,799,373,789,237,786,676,"Water, Food, Medicine"
North Base,Moderate,13,405,636,413,103,668,101,"Water, Food, Medicine"
North Base,Moderate,3,734,166,1748,209,201,791,"Water, Medicine, Blankets"
West Outpost,High,12,953,936,1195,41,443,769,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,13,782,752,1311,315,418,981,"Water, Medicine, Blankets"
Central Command,High,0,680,458,1458,467,426,848,"Water, Blankets"
Central Command,Moderate,12,358,998,685,453,478,867,None
East Camp,High,13,744,279,112,267,474,397,"Water, Food, Medicine, Blankets"
West Outpost,High,4,337,699,887,385,125,137,Blankets
North Base,Low,11,356,301,1940,262,394,674,Water
Central Command,Moderate,8,861,530,121,335,575,920,"Water, Food, Medicine, Blankets"
Central Command,Moderate,7,643,579,1567,386,324,386,"Water, Blankets"
North Base,Low,11,963,217,1245,364,391,110,"Water, Food, Medicine, Blankets"
Central Command,Severe,14,772,101,1654,258,687,613,"Water, Medicine"
East Camp,Moderate,8,711,553,38,282,627,16,"Water, Food, Medicine, Fuel"
West Outpost,Severe,9,598,287,496,113,439,779,"Water, Food, Medicine, Blankets"
North Base,Moderate,13,401,166,779,362,203,181,"Water, Blankets"
West Outpost,High,8,361,620,1256,39,485,883,"Water, Medicine"
Central Command,High,14,922,35,942,485,30,535,"Water, Food, Blankets"
Central Command,High,6,108,743,1553,416,387,540,None
North Base,High,3,692,740,148,219,624,170,"Water, Food, Medicine"
East Camp,High,4,973,352,1420,128,433,408,"Water, Food, Medicine, Blankets"
South Shelter,Moderate,0,763,675,1021,7,375,739,"Water, Food, Medicine, Blankets"
North Base,Severe,13,804,898,660,100,343,377,"Water, Food, Medicine, Blankets"
South Shelter,Severe,0,84,72,1661,415,442,187,Water
South Shelter,Severe,2,494,647,1927,379,578,857,Water
East Camp,Moderate,12,142,352,301,175,74,229,Blankets
South Shelter,High,13,999,890,1383,106,556,832,"Water, Food, Medicine, Blankets"
South Shelter,Severe,7,256,69,237,100,771,851,"Water, Food, Medicine"
East Camp,Moderate,13,402,424,646,259,665,118,Water
South Shelter,Low,1,952,998,662,477,154,155,"Water, Food, Blankets"
South Shelter,High,3,381,707,235,453,429,783,"Water, Food"
South Shelter,High,1,866,780,1759,365,362,686,"Water, Medicine, Blankets"
North Base,Severe,13,911,560,202,245,447,464,"Water, Food, Medicine, Blankets"
North Base,Moderate,4,774,827,255,274,233,103,"Water, Food, Medicine, Blankets"
North Base,High,8,208,641,597,31,562,603,Medicine
East Camp,Moderate,0,73,955,661,136,261,697,None
Central Command,Moderate,4,453,516,234,11,124,971,"Water, Food, Medicine, Blankets"
South Shelter,Moderate,13,854,427,1368,394,244,794,"Water, Medicine, Blankets"
South Shelter,Severe,14,565,538,533,301,541,501,"Water, Food"
East Camp,High,8,781,159,859,374,484,692,"Water, Food, Medicine, Blankets"
South Shelter,High,14,413,148,1820,15,121,681,"Water, Medicine, Blankets"
North Base,Moderate,0,431,775,1804,128,124,698,"Water, Medicine, Blankets"
Central Command,Severe,8,581,229,1489,62,548,174,"Water, Medicine"
West Outpost,Moderate,7,201,711,769,108,169,733,None
South Shelter,Severe,3,611,561,540,374,123,744,"Water, Food, Blankets"
North Base,High,11,738,66,212,20,34,673,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,10,996,811,462,157,86,420,"Water, Food, Medicine, Blankets"
Central Command,High,9,657,380,435,268,645,133,"Water, Food, Medicine"
West Outpost,Moderate,4,666,57,282,161,707,390,"Water, Food, Medicine"
North Base,High,12,469,258,1585,259,785,991,Water
West Outpost,High,4,299,341,1630,411,200,735,"Water, Blankets"
East Camp,Moderate,10,166,837,1486,101,368,500,None
West Outpost,Severe,11,915,129,1430,222,796,664,"Water, Medicine"
South Shelter,Moderate,5,561,726,87,58,76,32,"Water, Food, Medicine, Blankets, Fuel"
South Shelter,High,6,789,171,1067,246,58,54,"Water, Food, Medicine, Blankets, Fuel"
East Camp,Severe,7,627,769,460,127,430,953,"Water, Food, Medicine, Blankets"
North Base,High,14,384,613,277,282,637,518,"Water, Food"
South Shelter,Moderate,13,467,208,1706,324,499,755,Water
Central Command,Severe,7,981,802,420,24,108,824,"Water, Food, Medicine, Blankets"
South Shelter,High,10,823,353,1724,130,735,637,"Water, Medicine"
South Shelter,Moderate,13,344,470,1376,352,277,11,"Water, Fuel"
North Base,Moderate,12,987,797,695,195,67,527,"Water, Food, Medicine, Blankets"
West Outpost,High,1,804,115,514,280,68,719,"Water, Food, Medicine, Blankets"
South Shelter,High,8,420,263,702,403,164,554,"Water, Blankets"
East Camp,High,6,235,661,1653,417,488,372,None
West Outpost,Severe,3,295,811,18,153,304,483,Food
Central Command,High,3,686,441,22,381,673,972,"Water, Food"
North Base,Moderate,10,317,547,412,132,364,646,"Water, Food, Medicine"
Central Command,Moderate,7,692,452,1053,226,378,227,"Water, Medicine, Blankets"
West Outpost,Moderate,3,286,844,1830,188,342,622,None
West Outpost,High,12,579,476,107,475,553,306,"Water, Food"
West Outpost,Low,14,601,286,1390,476,353,456,"Water, Blankets"
Central Command,High,5,70,302,1304,264,415,159,None
West Outpost,High,4,960,310,1151,371,108,330,"Water, Food, Medicine, Blankets"
Central Command,Severe,2,786,207,1252,485,562,775,"Water, Blankets"
West Outpost,Moderate,12,916,617,1134,433,761,224,"Water, Food, Medicine"
East Camp,Severe,13,843,445,135,133,496,982,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,9,569,669,361,210,340,728,"Water, Food, Medicine, Blankets"
Central Command,Severe,10,149,632,1209,59,382,503,Medicine
South Shelter,Moderate,1,801,54,1679,427,532,455,"Water, Blankets"
West Outpost,Moderate,8,527,911,1607,376,299,44,"Water, Blankets, Fuel"
South Shelter,High,9,648,11,128,394,138,213,"Water, Food, Blankets"
East Camp,Moderate,8,347,656,1899,449,358,58,"Water, Fuel"
North Base,Moderate,0,989,399,1284,430,498,643,"Water, Food, Medicine, Blankets"
East Camp,High,9,575,907,514,363,384,615,"Water, Food, Blankets"
West Outpost,High,2,383,647,448,363,603,194,"Water, Food"
South Shelter,High,7,51,979,1923,456,279,924,None
South Shelter,High,5,424,514,1127,212,636,488,Water
Central Command,High,4,342,655,1506,215,482,156,Water
South Shelter,Moderate,4,886,541,1247,225,110,609,"Water, Food, Medicine, Blankets"
Central Command,Moderate,5,983,236,1855,469,138,225,"Water, Medicine, Blankets"
North Base,Moderate,14,602,278,873,130,434,411,"Water, Food, Medicine, Blankets"
West Outpost,Severe,6,367,347,1889,75,508,204,"Water, Medicine"
Central Command,High,0,551,626,1514,475,272,78,"Water, Blankets, Fuel"
North Base,High,8,877,103,472,285,98,123,"Water, Food, Medicine, Blankets"
South Shelter,High,2,430,629,1033,473,763,470,Water
South Shelter,Severe,3,672,516,1428,495,103,939,"Water, Blankets"
North Base,Moderate,9,63,979,1919,276,213,217,None
South Shelter,High,0,553,871,301,155,760,515,"Water, Food, Medicine"
North Base,High,12,280,247,230,247,663,601,"Water, Food"
Central Command,High,10,133,363,1754,217,761,103,None
Central Command,Low,9,179,320,922,189,786,392,Water
North Base,Severe,2,792,632,1089,416,164,630,"Water, Food, Blankets"
Central Command,Severe,1,887,285,936,468,519,644,"Water, Food, Blankets"
Central Command,High,1,194,148,111,162,283,823,"Water, Food"
Central Command,High,13,940,83,1036,179,516,607,"Water, Food, Medicine, Blankets"
East Camp,Severe,0,906,965,1416,33,656,979,"Water, Medicine, Blankets"
West Outpost,High,7,77,405,499,40,612,433,None
South Shelter,Moderate,2,115,977,931,306,163,330,None
East Camp,High,2,212,455,597,430,658,142,None
Central Command,High,5,278,742,233,337,63,799,"Food, Blankets"
North Base,High,12,310,799,601,313,90,539,Blankets
Central Command,High,7,498,160,313,74,116,277,"Water, Food, Medicine, Blankets"
West Outpost,Severe,12,473,783,565,440,266,232,"Water, Food, Blankets"
Central Command,Severe,14,509,459,1035,278,684,528,Water
